trade_id,strategy_name,session_date,direction,level_type,academic_source_key,academic_source_doi,setup_mode,feature_method,vpin_rank_column,vpin_prior_rank,vpin_proxy_value,drawdown_rank_column,prior_session_drawdown_rank,session_return_column,session_return_at_signal,min_session_return,vpin_rank_cutoff,drawdown_rank_cutoff,vpin_signal_timestamp,vpin_intended_entry_timestamp,signal_stop_pct,signal_target_r_multiple,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,vpin_toxicity_continuation,2021-01-05,long,vpin_toxicity_continuation_prior_vpin_session_return_continuation,easley_lopez_de_prado_ohara_2012_flow_toxicity,10.1093/rfs/hhs053,prior_vpin_session_return_continuation,ohlcv_signed_volume_vpin_proxy,vpin_prior_rank21_at_1330,0.7142857142857143,0.35901799831960607,vpin_prior_drawdown_rank63_at_1330,1.0,vpin_session_ret,0.004401110434017141,0.0005,0.45,0.3,2021-01-05 13:30:00-05:00,2021-01-05 13:30:00-05:00,0.02,1.0,15:31:00,3708.5,2021-01-05 13:29:00-05:00,3714.0,3685.25,2021-01-05 13:30:00-05:00,2021-01-05 13:30:00-05:00,3708.75,3634.5,3783.0,74.25,1,21.25,0.75,fixed_contracts,2021-01-05 15:31:00-05:00,3714.0,eod_flatten,262.5,257.5,0.0707070707070707,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,vpin_toxicity_continuation,2021-01-06,long,vpin_toxicity_continuation_prior_vpin_session_return_continuation,easley_lopez_de_prado_ohara_2012_flow_toxicity,10.1093/rfs/hhs053,prior_vpin_session_return_continuation,ohlcv_signed_volume_vpin_proxy,vpin_prior_rank21_at_1330,0.5714285714285714,0.3728239004333939,vpin_prior_drawdown_rank63_at_1330,0.3548387096774194,vpin_session_ret,0.016600310412308472,0.0005,0.45,0.3,2021-01-06 13:30:00-05:00,2021-01-06 13:30:00-05:00,0.02,1.0,15:31:00,3766.25,2021-01-06 13:29:00-05:00,3774.75,3695.75,2021-01-06 13:30:00-05:00,2021-01-06 13:30:00-05:00,3766.5,3691.0,3842.0,75.5,1,8.25,33.0,fixed_contracts,2021-01-06 15:31:00-05:00,3747.75,eod_flatten,-937.5,-942.5,-0.24834437086092714,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,vpin_toxicity_continuation,2021-01-07,long,vpin_toxicity_continuation_prior_vpin_session_return_continuation,easley_lopez_de_prado_ohara_2012_flow_toxicity,10.1093/rfs/hhs053,prior_vpin_session_return_continuation,ohlcv_signed_volume_vpin_proxy,vpin_prior_rank21_at_1330,0.6190476190476191,0.4896475244978359,vpin_prior_drawdown_rank63_at_1330,0.5555555555555556,vpin_session_ret,0.006106870229007688,0.0005,0.45,0.3,2021-01-07 13:30:00-05:00,2021-01-07 13:30:00-05:00,0.02,1.0,15:31:00,3789.25,2021-01-07 13:29:00-05:00,3803.25,3763.75,2021-01-07 13:30:00-05:00,2021-01-07 13:30:00-05:00,3789.75,3713.75,3865.75,76.0,1,11.0,0.25,fixed_contracts,2021-01-07 15:31:00-05:00,3798.0,eod_flatten,412.5,407.5,0.10855263157894737,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,vpin_toxicity_continuation,2021-01-11,long,vpin_toxicity_continuation_prior_vpin_session_return_continuation,easley_lopez_de_prado_ohara_2012_flow_toxicity,10.1093/rfs/hhs053,prior_vpin_session_return_continuation,ohlcv_signed_volume_vpin_proxy,vpin_prior_rank21_at_1330,1.0,0.36310098998242046,vpin_prior_drawdown_rank63_at_1330,0.8253968253968254,vpin_session_ret,0.005089226701916694,0.0005,0.45,0.3,2021-01-11 13:30:00-05:00,2021-01-11 13:30:00-05:00,0.02,1.0,15:31:00,3801.75,2021-01-11 13:29:00-05:00,3810.5,3781.0,2021-01-11 13:30:00-05:00,2021-01-11 13:30:00-05:00,3802.25,3726.0,3878.5,76.25,1,0.5,16.0,fixed_contracts,2021-01-11 15:31:00-05:00,3789.0,eod_flatten,-662.5,-667.5,-0.1737704918032787,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,vpin_toxicity_continuation,2021-01-13,long,vpin_toxicity_continuation_prior_vpin_session_return_continuation,easley_lopez_de_prado_ohara_2012_flow_toxicity,10.1093/rfs/hhs053,prior_vpin_session_return_continuation,ohlcv_signed_volume_vpin_proxy,vpin_prior_rank21_at_1330,0.7619047619047619,0.23021817574457887,vpin_prior_drawdown_rank63_at_1330,0.5873015873015873,vpin_session_ret,0.003228144146518286,0.0005,0.45,0.3,2021-01-13 13:30:00-05:00,2021-01-13 13:30:00-05:00,0.02,1.0,15:31:00,3807.0,2021-01-13 13:29:00-05:00,3808.25,3782.75,2021-01-13 13:30:00-05:00,2021-01-13 13:30:00-05:00,3807.0,3730.75,3883.25,76.25,1,6.5,5.5,fixed_contracts,2021-01-13 15:31:00-05:00,3801.75,eod_flatten,-262.5,-267.5,-0.06885245901639345,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,vpin_toxicity_continuation,2021-02-01,long,vpin_toxicity_continuation_prior_vpin_session_return_continuation,easley_lopez_de_prado_ohara_2012_flow_toxicity,10.1093/rfs/hhs053,prior_vpin_session_return_continuation,ohlcv_signed_volume_vpin_proxy,vpin_prior_rank21_at_1330,0.7142857142857143,0.3742184210780978,vpin_prior_drawdown_rank63_at_1330,0.9841269841269841,vpin_session_ret,0.005806968362034537,0.0005,0.45,0.3,2021-02-01 13:30:00-05:00,2021-02-01 13:30:00-05:00,0.02,1.0,15:31:00,3767.25,2021-02-01 13:29:00-05:00,3769.25,3717.25,2021-02-01 13:30:00-05:00,2021-02-01 13:30:00-05:00,3767.5,3692.0,3843.0,75.5,1,9.5,6.0,fixed_contracts,2021-02-01 15:31:00-05:00,3768.25,eod_flatten,37.5,32.5,0.009933774834437087,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,vpin_toxicity_continuation,2021-02-09,long,vpin_toxicity_continuation_prior_vpin_session_return_continuation,easley_lopez_de_prado_ohara_2012_flow_toxicity,10.1093/rfs/hhs053,prior_vpin_session_return_continuation,ohlcv_signed_volume_vpin_proxy,vpin_prior_rank21_at_1330,0.7619047619047619,0.42046727022549896,vpin_prior_drawdown_rank63_at_1330,0.6507936507936508,vpin_session_ret,0.0016028723472463202,0.0005,0.45,0.3,2021-02-09 13:30:00-05:00,2021-02-09 13:30:00-05:00,0.02,1.0,15:31:00,3905.5,2021-02-09 13:29:00-05:00,3911.5,3895.0,2021-02-09 13:30:00-05:00,2021-02-09 13:30:00-05:00,3905.75,3827.5,3984.0,78.25,1,6.5,0.75,fixed_contracts,2021-02-09 15:31:00-05:00,3908.5,eod_flatten,137.5,132.5,0.03514376996805112,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,vpin_toxicity_continuation,2021-02-12,long,vpin_toxicity_continuation_prior_vpin_session_return_continuation,easley_lopez_de_prado_ohara_2012_flow_toxicity,10.1093/rfs/hhs053,prior_vpin_session_return_continuation,ohlcv_signed_volume_vpin_proxy,vpin_prior_rank21_at_1330,0.9047619047619048,0.5342526747831682,vpin_prior_drawdown_rank63_at_1330,0.8095238095238095,vpin_session_ret,0.0023695164905539468,0.0005,0.45,0.3,2021-02-12 13:30:00-05:00,2021-02-12 13:30:00-05:00,0.02,1.0,15:31:00,3913.0,2021-02-12 13:29:00-05:00,3919.75,3901.0,2021-02-12 13:30:00-05:00,2021-02-12 13:30:00-05:00,3913.0,3834.5,3991.5,78.5,1,5.0,4.25,fixed_contracts,2021-02-12 15:31:00-05:00,3917.25,eod_flatten,212.5,207.5,0.054140127388535034,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,vpin_toxicity_continuation,2021-02-17,long,vpin_toxicity_continuation_prior_vpin_session_return_continuation,easley_lopez_de_prado_ohara_2012_flow_toxicity,10.1093/rfs/hhs053,prior_vpin_session_return_continuation,ohlcv_signed_volume_vpin_proxy,vpin_prior_rank21_at_1330,0.5238095238095238,0.39357043362617594,vpin_prior_drawdown_rank63_at_1330,0.7142857142857143,vpin_session_ret,0.0026867963152508167,0.0005,0.45,0.3,2021-02-17 13:30:00-05:00,2021-02-17 13:30:00-05:00,0.02,1.0,15:31:00,3918.5,2021-02-17 13:29:00-05:00,3920.75,3896.5,2021-02-17 13:30:00-05:00,2021-02-17 13:30:00-05:00,3919.0,3840.5,3997.5,78.5,1,8.5,4.0,fixed_contracts,2021-02-17 15:31:00-05:00,3924.25,eod_flatten,262.5,257.5,0.06687898089171974,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,vpin_toxicity_continuation,2021-02-22,long,vpin_toxicity_continuation_prior_vpin_session_return_continuation,easley_lopez_de_prado_ohara_2012_flow_toxicity,10.1093/rfs/hhs053,prior_vpin_session_return_continuation,ohlcv_signed_volume_vpin_proxy,vpin_prior_rank21_at_1330,1.0,0.46120852937537204,vpin_prior_drawdown_rank63_at_1330,0.8571428571428571,vpin_session_ret,0.004836525440123918,0.0005,0.45,0.3,2021-02-22 13:30:00-05:00,2021-02-22 13:30:00-05:00,0.02,1.0,15:31:00,3895.5,2021-02-22 13:29:00-05:00,3895.5,3870.0,2021-02-22 13:30:00-05:00,2021-02-22 13:30:00-05:00,3895.5,3817.5,3973.5,78.0,1,3.75,16.0,fixed_contracts,2021-02-22 15:31:00-05:00,3882.0,eod_flatten,-675.0,-680.0,-0.17307692307692307,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
