observation_date,RSAFS
1992-01-01,159177
1992-02-01,159189
1992-03-01,158647
1992-04-01,159921
1992-05-01,160471
1992-06-01,161205
1992-07-01,162855
1992-08-01,162412
1992-09-01,164361
1992-10-01,166063
1992-11-01,166124
1992-12-01,167691
1993-01-01,169500
1993-02-01,168840
1993-03-01,167682
1993-04-01,172102
1993-05-01,172960
1993-06-01,173018
1993-07-01,175822
1993-08-01,175233
1993-09-01,176608
1993-10-01,177588
1993-11-01,179758
1993-12-01,181077
1994-01-01,179615
1994-02-01,183101
1994-03-01,186721
1994-04-01,186423
1994-05-01,185616
1994-06-01,187800
1994-07-01,188062
1994-08-01,190771
1994-09-01,192585
1994-10-01,193914
1994-11-01,194425
1994-12-01,194939
1995-01-01,195908
1995-02-01,193068
1995-03-01,195179
1995-04-01,195310
1995-05-01,198060
1995-06-01,200383
1995-07-01,199110
1995-08-01,201078
1995-09-01,201337
1995-10-01,200597
1995-11-01,203545
1995-12-01,204032
1996-01-01,203793
1996-02-01,206875
1996-03-01,207650
1996-04-01,209294
1996-05-01,211157
1996-06-01,209474
1996-07-01,210827
1996-08-01,210846
1996-09-01,213233
1996-10-01,215526
1996-11-01,215167
1996-12-01,215690
1997-01-01,218124
1997-02-01,219587
1997-03-01,221189
1997-04-01,217925
1997-05-01,217771
1997-06-01,220233
1997-07-01,222985
1997-08-01,223120
1997-09-01,224509
1997-10-01,224300
1997-11-01,223718
1997-12-01,225236
1998-01-01,225954
1998-02-01,225746
1998-03-01,226889
1998-04-01,230409
1998-05-01,230995
1998-06-01,233207
1998-07-01,231551
1998-08-01,229792
1998-09-01,232308
1998-10-01,236174
1998-11-01,237592
1998-12-01,240140
1999-01-01,240269
1999-02-01,243346
1999-03-01,244687
1999-04-01,246628
1999-05-01,248367
1999-06-01,249329
1999-07-01,251263
1999-08-01,253844
1999-09-01,255029
1999-10-01,254816
1999-11-01,258133
1999-12-01,263311
2000-01-01,261545
2000-02-01,265686
2000-03-01,269019
2000-04-01,264067
2000-05-01,265992
2000-06-01,267750
2000-07-01,265683
2000-08-01,266885
2000-09-01,270523
2000-10-01,270339
2000-11-01,268850
2000-12-01,268338
2001-01-01,272881
2001-02-01,272627
2001-03-01,269820
2001-04-01,274410
2001-05-01,275769
2001-06-01,274474
2001-07-01,273098
2001-08-01,275659
2001-09-01,268652
2001-10-01,288632
2001-11-01,280033
2001-12-01,276302
2002-01-01,277135
2002-02-01,278869
2002-03-01,278079
2002-04-01,281147
2002-05-01,278966
2002-06-01,280426
2002-07-01,284161
2002-08-01,285884
2002-09-01,281064
2002-10-01,282940
2002-11-01,283408
2002-12-01,286646
2003-01-01,288657
2003-02-01,284696
2003-03-01,288177
2003-04-01,289053
2003-05-01,289619
2003-06-01,293671
2003-07-01,296207
2003-08-01,299592
2003-09-01,298921
2003-10-01,298205
2003-11-01,299433
2003-12-01,300702
2004-01-01,301993
2004-02-01,303915
2004-03-01,309471
2004-04-01,307358
2004-05-01,311088
2004-06-01,309127
2004-07-01,311681
2004-08-01,311192
2004-09-01,317446
2004-10-01,318476
2004-11-01,320520
2004-12-01,324672
2005-01-01,321272
2005-02-01,325308
2005-03-01,326179
2005-04-01,329124
2005-05-01,327233
2005-06-01,337219
2005-07-01,339529
2005-08-01,335605
2005-09-01,336600
2005-10-01,336753
2005-11-01,339719
2005-12-01,339895
2006-01-01,349664
2006-02-01,347021
2006-03-01,348357
2006-04-01,350072
2006-05-01,348889
2006-06-01,350795
2006-07-01,351916
2006-08-01,353285
2006-09-01,351240
2006-10-01,351035
2006-11-01,352116
2006-12-01,356367
2007-01-01,355792
2007-02-01,356545
2007-03-01,359415
2007-04-01,358562
2007-05-01,363085
2007-06-01,360234
2007-07-01,361770
2007-08-01,363676
2007-09-01,365178
2007-10-01,367322
2007-11-01,370776
2007-12-01,366569
2008-01-01,367368
2008-02-01,364126
2008-03-01,365164
2008-04-01,364816
2008-05-01,368255
2008-06-01,368926
2008-07-01,367594
2008-08-01,364611
2008-09-01,358991
2008-10-01,346137
2008-11-01,332498
2008-12-01,324767
2009-01-01,329787
2009-02-01,328376
2009-03-01,322634
2009-04-01,324323
2009-05-01,327011
2009-06-01,332227
2009-07-01,333670
2009-08-01,339586
2009-09-01,330998
2009-10-01,334595
2009-11-01,337321
2009-12-01,338736
2010-01-01,339093
2010-02-01,339580
2010-03-01,346974
2010-04-01,349869
2010-05-01,346858
2010-06-01,346516
2010-07-01,347612
2010-08-01,349188
2010-09-01,352179
2010-10-01,356215
2010-11-01,359450
2010-12-01,361979
2011-01-01,364394
2011-02-01,367475
2011-03-01,370775
2011-04-01,372820
2011-05-01,372505
2011-06-01,375587
2011-07-01,375442
2011-08-01,375860
2011-09-01,380042
2011-10-01,382207
2011-11-01,383422
2011-12-01,383985
2012-01-01,387531
2012-02-01,392310
2012-03-01,393698
2012-04-01,392073
2012-05-01,391376
2012-06-01,387901
2012-07-01,389686
2012-08-01,394524
2012-09-01,397681
2012-10-01,397494
2012-11-01,399708
2012-12-01,401093
2013-01-01,404434
2013-02-01,409118
2013-03-01,406223
2013-04-01,404231
2013-05-01,406677
2013-06-01,407921
2013-07-01,410268
2013-08-01,409691
2013-09-01,410044
2013-10-01,411399
2013-11-01,412561
2013-12-01,414812
2014-01-01,411561
2014-02-01,416736
2014-03-01,421230
2014-04-01,425546
2014-05-01,426253
2014-06-01,427305
2014-07-01,428079
2014-08-01,431379
2014-09-01,430189
2014-10-01,431903
2014-11-01,433113
2014-12-01,430110
2015-01-01,428208
2015-02-01,427119
2015-03-01,433647
2015-04-01,434470
2015-05-01,437865
2015-06-01,437951
2015-07-01,441942
2015-08-01,441849
2015-09-01,439867
2015-10-01,438693
2015-11-01,440303
2015-12-01,442149
2016-01-01,439466
2016-02-01,443117
2016-03-01,441856
2016-04-01,444254
2016-05-01,445490
2016-06-01,450237
2016-07-01,449789
2016-08-01,449946
2016-09-01,453056
2016-10-01,453847
2016-11-01,453892
2016-12-01,459305
2017-01-01,464412
2017-02-01,464284
2017-03-01,463674
2017-04-01,465276
2017-05-01,462754
2017-06-01,465130
2017-07-01,465089
2017-08-01,466020
2017-09-01,475724
2017-10-01,476107
2017-11-01,480949
2017-12-01,483586
2018-01-01,481414
2018-02-01,484031
2018-03-01,484110
2018-04-01,484154
2018-05-01,491960
2018-06-01,490228
2018-07-01,493142
2018-08-01,493445
2018-09-01,491507
2018-10-01,496416
2018-11-01,498854
2018-12-01,489113
2019-01-01,490440
2019-02-01,491751
2019-03-01,499292
2019-04-01,499343
2019-05-01,504741
2019-06-01,505251
2019-07-01,509091
2019-08-01,512561
2019-09-01,509282
2019-10-01,510648
2019-11-01,514215
2019-12-01,515866
2020-01-01,515119
2020-02-01,515330
2020-03-01,468324
2020-04-01,401028
2020-05-01,478449
2020-06-01,518038
2020-07-01,526304
2020-08-01,530735
2020-09-01,541302
2020-10-01,539114
2020-11-01,533941
2020-12-01,538548
2021-01-01,559230
2021-02-01,544891
2021-03-01,603581
2021-04-01,608961
2021-05-01,605282
2021-06-01,611950
2021-07-01,601817
2021-08-01,605533
2021-09-01,609671
2021-10-01,618573
2021-11-01,624874
2021-12-01,619938
2022-01-01,631509
2022-02-01,638101
2022-03-01,651027
2022-04-01,660194
2022-05-01,659847
2022-06-01,666113
2022-07-01,659550
2022-08-01,663566
2022-09-01,661854
2022-10-01,668671
2022-11-01,659458
2022-12-01,651763
2023-01-01,680253
2023-02-01,672152
2023-03-01,665071
2023-04-01,670494
2023-05-01,673902
2023-06-01,677117
2023-07-01,678424
2023-08-01,684755
2023-09-01,689403
2023-10-01,686148
2023-11-01,685328
2023-12-01,686277
2024-01-01,680456
2024-02-01,685280
2024-03-01,687641
2024-04-01,687602
2024-05-01,692774
2024-06-01,692449
2024-07-01,698835
2024-08-01,697039
2024-09-01,703055
2024-10-01,708290
2024-11-01,711853
2024-12-01,717265
2025-01-01,711260
2025-02-01,711575
2025-03-01,723339
2025-04-01,722442
2025-05-01,714568
2025-06-01,723033
2025-07-01,727727
2025-08-01,731700
2025-09-01,732192
2025-10-01,731051
2025-11-01,734718
2025-12-01,734717
2026-01-01,734503
2026-02-01,741278
2026-03-01,754013
2026-04-01,757036
2026-05-01,763705
