trade_id,strategy_name,session_date,direction,level_type,setup_mode,feature_method,price_reference,level_reference,prev_rth_high,current_close,close_above_prev_rth_high_points,min_close_above_prev_high_ticks,hour_window_minutes,hour_window_start_timestamp,hour_window_end_timestamp,hour_open,hour_close,hour_return_points,hour_return_ticks,hour_signed_volume_delta,hour_volume,hour_delta_ratio,min_negative_hour_ticks,min_hour_delta,positive_delta_dislocation_signal_timestamp,positive_delta_dislocation_intended_entry_timestamp,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,positive_delta_dislocation,2011-01-11,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2287.0,2288.5,1.5,1.0,60,2011-01-11 09:30:00-05:00,2011-01-11 10:30:00-05:00,2292.0,2288.5,-3.5,-14.0,1898.0,50999.0,0.037216416008157026,1.0,500.0,2011-01-11 10:30:00-05:00,2011-01-11 10:30:00-05:00,16:00:00,2287.0,2011-01-11 09:30:00-05:00,2289.0,2288.25,2011-01-11 10:30:00-05:00,2011-01-11 10:30:00-05:00,2288.75,1788.75,2788.75,500.0,1,2.5,10.75,fixed_contracts,2011-01-11 16:00:00-05:00,2286.0,eod_flatten,-55.0,-60.0,-0.0055,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,positive_delta_dislocation,2011-01-13,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2302.75,2306.5,3.75,1.0,60,2011-01-13 12:30:00-05:00,2011-01-13 13:30:00-05:00,2306.75,2306.5,-0.25,-1.0,891.0,14397.0,0.06188789331110648,1.0,500.0,2011-01-13 13:30:00-05:00,2011-01-13 13:30:00-05:00,16:00:00,2302.75,2011-01-13 12:30:00-05:00,2306.75,2306.25,2011-01-13 13:30:00-05:00,2011-01-13 13:30:00-05:00,2306.75,1806.75,2806.75,500.0,1,0.5,10.0,fixed_contracts,2011-01-13 16:00:00-05:00,2303.75,eod_flatten,-60.0,-65.0,-0.006,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,positive_delta_dislocation,2011-02-01,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2286.0,2324.75,38.75,1.0,60,2011-02-01 12:30:00-05:00,2011-02-01 13:30:00-05:00,2325.75,2324.75,-1.0,-4.0,3410.0,21145.0,0.1612674391109009,1.0,500.0,2011-02-01 13:30:00-05:00,2011-02-01 13:30:00-05:00,16:00:00,2286.0,2011-02-01 12:30:00-05:00,2325.25,2324.5,2011-02-01 13:30:00-05:00,2011-02-01 13:30:00-05:00,2325.25,1825.25,2825.25,500.0,1,2.5,3.5,fixed_contracts,2011-02-01 16:00:00-05:00,2322.0,eod_flatten,-65.0,-70.0,-0.0065,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,positive_delta_dislocation,2011-02-17,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2384.0,2397.75,13.75,1.0,60,2011-02-17 11:30:00-05:00,2011-02-17 12:30:00-05:00,2398.0,2397.75,-0.25,-1.0,1052.0,17062.0,0.06165748446840933,1.0,500.0,2011-02-17 12:30:00-05:00,2011-02-17 12:30:00-05:00,16:00:00,2384.0,2011-02-17 11:30:00-05:00,2398.0,2397.5,2011-02-17 12:30:00-05:00,2011-02-17 12:30:00-05:00,2398.0,1898.0,2898.0,500.0,1,2.75,3.25,fixed_contracts,2011-02-17 16:00:00-05:00,2396.25,eod_flatten,-35.0,-40.0,-0.0035,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,positive_delta_dislocation,2011-02-25,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2321.0,2345.5,24.5,1.0,60,2011-02-25 13:30:00-05:00,2011-02-25 14:30:00-05:00,2348.0,2345.5,-2.5,-10.0,1634.0,19262.0,0.0848302356972277,1.0,500.0,2011-02-25 14:30:00-05:00,2011-02-25 14:30:00-05:00,16:00:00,2321.0,2011-02-25 13:30:00-05:00,2346.5,2344.25,2011-02-25 14:30:00-05:00,2011-02-25 14:30:00-05:00,2345.75,1845.75,2845.75,500.0,1,2.5,0.75,fixed_contracts,2011-02-25 16:00:00-05:00,2346.25,eod_flatten,10.0,5.0,0.001,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,positive_delta_dislocation,2011-03-21,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2248.0,2266.0,18.0,1.0,60,2011-03-21 11:30:00-04:00,2011-03-21 12:30:00-04:00,2267.25,2266.0,-1.25,-5.0,852.0,16378.0,0.052021003785566004,1.0,500.0,2011-03-21 12:30:00-04:00,2011-03-21 12:30:00-04:00,16:00:00,2248.0,2011-03-21 11:30:00-04:00,2266.0,2265.0,2011-03-21 12:30:00-04:00,2011-03-21 12:30:00-04:00,2266.25,1766.25,2766.25,500.0,1,0.0,10.5,fixed_contracts,2011-03-21 16:00:00-04:00,2258.75,eod_flatten,-150.0,-155.0,-0.015,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,positive_delta_dislocation,2011-04-19,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2289.5,2293.25,3.75,1.0,60,2011-04-19 09:30:00-04:00,2011-04-19 10:30:00-04:00,2293.75,2293.25,-0.5,-2.0,1106.0,48361.0,0.02286966770745022,1.0,500.0,2011-04-19 10:30:00-04:00,2011-04-19 10:30:00-04:00,16:00:00,2289.5,2011-04-19 09:30:00-04:00,2294.25,2293.0,2011-04-19 10:30:00-04:00,2011-04-19 10:30:00-04:00,2293.5,1793.5,2793.5,500.0,1,9.0,11.0,fixed_contracts,2011-04-19 16:00:00-04:00,2302.25,eod_flatten,175.0,170.0,0.0175,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,positive_delta_dislocation,2011-05-31,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2338.5,2351.0,12.5,1.0,60,2011-05-31 10:30:00-04:00,2011-05-31 11:30:00-04:00,2352.0,2351.0,-1.0,-4.0,878.0,27842.0,0.03153509086990877,1.0,500.0,2011-05-31 11:30:00-04:00,2011-05-31 11:30:00-04:00,16:00:00,2338.5,2011-05-31 10:30:00-04:00,2351.5,2351.0,2011-05-31 11:30:00-04:00,2011-05-31 11:30:00-04:00,2351.25,1851.25,2851.25,500.0,1,21.0,5.0,fixed_contracts,2011-05-31 16:00:00-04:00,2371.5,eod_flatten,405.0,400.0,0.0405,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,positive_delta_dislocation,2011-06-30,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2295.5,2318.5,23.0,1.0,60,2011-06-30 11:30:00-04:00,2011-06-30 12:30:00-04:00,2319.25,2318.5,-0.75,-3.0,3331.0,18963.0,0.1756578600432421,1.0,500.0,2011-06-30 12:30:00-04:00,2011-06-30 12:30:00-04:00,16:00:00,2295.5,2011-06-30 11:30:00-04:00,2318.75,2318.0,2011-06-30 12:30:00-04:00,2011-06-30 12:30:00-04:00,2318.75,1818.75,2818.75,500.0,1,4.75,3.25,fixed_contracts,2011-06-30 16:00:00-04:00,2320.75,eod_flatten,40.0,35.0,0.004,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,positive_delta_dislocation,2011-07-06,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,2370.75,2373.75,3.0,1.0,60,2011-07-06 12:30:00-04:00,2011-07-06 13:30:00-04:00,2374.5,2373.75,-0.75,-3.0,862.0,18478.0,0.04665007035393441,1.0,500.0,2011-07-06 13:30:00-04:00,2011-07-06 13:30:00-04:00,16:00:00,2370.75,2011-07-06 12:30:00-04:00,2374.0,2373.5,2011-07-06 13:30:00-04:00,2011-07-06 13:30:00-04:00,2373.75,1873.75,2873.75,500.0,1,3.0,6.75,fixed_contracts,2011-07-06 16:00:00-04:00,2376.25,eod_flatten,50.0,45.0,0.005,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
