observation_date,DRTSCLCC
1996-01-01,25.0
1996-04-01,23.4
1996-07-01,48.9
1996-10-01,48.9
1997-01-01,37.0
1997-04-01,45.8
1997-07-01,23.3
1997-10-01,25.0
1998-01-01,22.2
1998-04-01,16.3
1998-07-01,20.0
1998-10-01,15.9
1999-01-01,7.3
1999-04-01,13.3
1999-07-01,4.8
1999-10-01,4.9
2000-01-01,4.8
2000-04-01,2.6
2000-07-01,-2.6
2000-10-01,8.3
2001-01-01,11.8
2001-04-01,20.0
2001-07-01,11.4
2001-10-01,20.0
2002-01-01,18.2
2002-04-01,8.6
2002-07-01,14.7
2002-10-01,15.2
2003-01-01,16.2
2003-04-01,9.7
2003-07-01,0.0
2003-10-01,2.9
2004-01-01,6.3
2004-04-01,3.2
2004-07-01,0.0
2004-10-01,-2.9
2005-01-01,-2.9
2005-04-01,-8.3
2005-07-01,-6.5
2005-10-01,-3.0
2006-01-01,3.1
2006-04-01,-2.6
2006-07-01,-3.0
2006-10-01,-2.9
2007-01-01,0.0
2007-04-01,-11.1
2007-07-01,-3.1
2007-10-01,3.2
2008-01-01,9.8
2008-04-01,32.4
2008-07-01,66.7
2008-10-01,58.8
2009-01-01,58.8
2009-04-01,58.1
2009-07-01,35.3
2009-10-01,15.8
2010-01-01,2.8
2010-04-01,9.1
2010-07-01,-7.9
2010-10-01,-10.0
2011-01-01,-10.0
2011-04-01,-20.5
2011-07-01,-9.3
2011-10-01,-7.9
2012-01-01,-11.6
2012-04-01,-11.6
2012-07-01,-10.9
2012-10-01,-11.1
2013-01-01,-2.0
2013-04-01,-7.4
2013-07-01,-3.6
2013-10-01,-5.2
2014-01-01,-7.0
2014-04-01,-9.3
2014-07-01,-13.0
2014-10-01,-8.8
2015-01-01,-1.9
2015-04-01,-1.8
2015-07-01,-7.7
2015-10-01,-5.8
2016-01-01,-1.9
2016-04-01,-5.7
2016-07-01,-5.6
2016-10-01,0.0
2017-01-01,8.3
2017-04-01,-7.8
2017-07-01,5.8
2017-10-01,9.1
2018-01-01,1.9
2018-04-01,9.4
2018-07-01,12.0
2018-10-01,-2.2
2019-01-01,6.4
2019-04-01,15.2
2019-07-01,8.5
2019-10-01,10.4
2020-01-01,13.6
2020-04-01,38.5
2020-07-01,71.7
2020-10-01,26.7
2021-01-01,-12.8
2021-04-01,-27.1
2021-07-01,-37.3
2021-10-01,-31.1
2022-01-01,-17.0
2022-04-01,-10.4
2022-07-01,0.0
2022-10-01,18.8
2023-01-01,28.3
2023-04-01,30.4
2023-07-01,36.4
2023-10-01,28.9
2024-01-01,22.9
2024-04-01,21.2
2024-07-01,20.0
2024-10-01,18.4
2025-01-01,9.4
2025-04-01,5.6
2025-07-01,10.4
2025-10-01,4.2
2026-01-01,0.0
2026-04-01,2.0
