trade_id,strategy_name,session_date,direction,level_type,academic_source_key,setup_mode,source_return_reference,source_window_start_timestamp,source_window_end_timestamp,source_window_open,source_window_high,source_window_low,source_window_close,source_window_return_points,source_window_return_ticks,source_window_range_points,source_window_volume,source_window_avg_volume_ratio,morning_momentum_signal_timestamp,morning_momentum_entry_window_start,morning_momentum_entry_window_end,min_signal_return_ticks,min_source_window_volume_ratio,min_source_window_range_points,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,position_sizing_net_liq,target_risk_amount,dollar_risk_per_contract,unrounded_contracts,planned_dollar_risk,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,morning_intraday_momentum_continuation,2021-01-05,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-01-05 09:30:00-05:00,2021-01-05 10:30:00-05:00,3685.5,3714.0,3685.25,3702.0,16.5,66.0,28.75,295176.0,0.9869379542752262,2021-01-05 10:30:00-05:00,2021-01-05 10:30:00-05:00,2021-01-05 10:35:00-05:00,32.0,,,2021-01-05 10:30:00-05:00,3702.25,3685.5,3732.0,16.75,1,27.75,15.25,risk_percent_net_liq,150000.0,1500.0,837.5,1.791044776119403,837.5,2021-01-05 16:55:00-05:00,3718.25,eod_flatten,800.0,795.0,0.9552238805970149,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,morning_intraday_momentum_continuation,2021-01-06,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-01-06 09:30:00-05:00,2021-01-06 10:30:00-05:00,3702.0,3744.5,3695.75,3742.5,40.5,162.0,48.75,306185.0,1.3679309959489157,2021-01-06 10:30:00-05:00,2021-01-06 10:30:00-05:00,2021-01-06 10:35:00-05:00,32.0,,,2021-01-06 10:30:00-05:00,3742.75,3725.75,3772.75,17.0,1,32.0,0.5,risk_percent_net_liq,150795.0,1507.95,850.0,1.774058823529412,850.0,2021-01-06 13:15:00-05:00,3772.5,target,1487.5,1482.5,1.75,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,morning_intraday_momentum_continuation,2021-01-07,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-01-07 09:30:00-05:00,2021-01-07 10:30:00-05:00,3765.75,3797.25,3763.75,3794.5,28.75,115.0,33.5,317770.0,0.8000197103288927,2021-01-07 10:30:00-05:00,2021-01-07 10:30:00-05:00,2021-01-07 10:35:00-05:00,32.0,,,2021-01-07 10:30:00-05:00,3795.0,3777.75,3825.5,17.25,1,9.0,7.5,risk_percent_net_liq,152277.5,1522.775,862.5,1.7655362318840582,862.5,2021-01-07 16:55:00-05:00,3795.0,eod_flatten,0.0,-5.0,0.0,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,morning_intraday_momentum_continuation,2021-01-11,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-01-11 09:30:00-05:00,2021-01-11 10:30:00-05:00,3782.75,3802.75,3781.0,3800.75,18.0,72.0,21.75,281499.0,1.1487350841150048,2021-01-11 10:30:00-05:00,2021-01-11 10:30:00-05:00,2021-01-11 10:35:00-05:00,32.0,,,2021-01-11 10:30:00-05:00,3801.25,3784.0,3831.75,17.25,1,9.25,15.75,risk_percent_net_liq,152272.5,1522.7250000000001,862.5,1.7654782608695654,862.5,2021-01-11 16:55:00-05:00,3791.25,eod_flatten,-500.0,-505.0,-0.5797101449275363,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,morning_intraday_momentum_continuation,2021-01-20,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-01-20 09:30:00-05:00,2021-01-20 10:30:00-05:00,3815.5,3833.5,3811.25,3828.25,12.75,51.0,22.25,277449.0,1.4934398417596582,2021-01-20 10:30:00-05:00,2021-01-20 10:30:00-05:00,2021-01-20 10:35:00-05:00,32.0,,,2021-01-20 10:30:00-05:00,3828.75,3811.5,3859.5,17.25,1,23.75,2.5,risk_percent_net_liq,151767.5,1517.675,862.5,1.7596231884057971,862.5,2021-01-20 16:55:00-05:00,3840.0,eod_flatten,562.5,557.5,0.6521739130434783,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,morning_intraday_momentum_continuation,2021-01-25,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-01-25 09:30:00-05:00,2021-01-25 10:30:00-05:00,3841.0,3852.0,3837.0,3849.0,8.0,32.0,15.0,243383.0,1.3728633577152414,2021-01-25 10:30:00-05:00,2021-01-25 10:30:00-05:00,2021-01-25 10:35:00-05:00,32.0,,,2021-01-25 10:30:00-05:00,3849.25,3831.75,3880.25,17.5,1,1.5,17.75,risk_percent_net_liq,152325.0,1523.25,875.0,1.7408571428571429,875.0,2021-01-25 10:50:00-05:00,3831.5,stop,-887.5,-892.5,-1.0142857142857142,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,morning_intraday_momentum_continuation,2021-01-28,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-01-28 09:30:00-05:00,2021-01-28 10:30:00-05:00,3767.25,3806.25,3762.5,3793.0,25.75,103.0,43.75,427540.0,0.8910382966944005,2021-01-28 10:30:00-05:00,2021-01-28 10:30:00-05:00,2021-01-28 10:35:00-05:00,32.0,,,2021-01-28 10:30:00-05:00,3793.25,3776.0,3823.75,17.25,1,30.25,20.0,risk_percent_net_liq,151432.5,1514.325,862.5,1.7557391304347827,862.5,2021-01-28 16:00:00-05:00,3775.75,stop,-875.0,-880.0,-1.0144927536231885,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,morning_intraday_momentum_continuation,2021-02-02,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-02-02 09:30:00-05:00,2021-02-02 10:30:00-05:00,3799.25,3829.0,3799.0,3818.25,19.0,76.0,30.0,348310.0,1.3696925782412863,2021-02-02 10:30:00-05:00,2021-02-02 10:30:00-05:00,2021-02-02 10:35:00-05:00,32.0,,,2021-02-02 10:30:00-05:00,3818.75,3801.5,3849.5,17.25,1,17.0,5.0,risk_percent_net_liq,150552.5,1505.525,862.5,1.7455362318840582,862.5,2021-02-02 16:55:00-05:00,3827.25,eod_flatten,425.0,420.0,0.4927536231884058,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,morning_intraday_momentum_continuation,2021-02-04,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-02-04 09:30:00-05:00,2021-02-04 10:30:00-05:00,3832.25,3847.25,3830.5,3840.75,8.5,34.0,16.75,265214.0,1.270729189465979,2021-02-04 10:30:00-05:00,2021-02-04 10:30:00-05:00,2021-02-04 10:35:00-05:00,32.0,,,2021-02-04 10:30:00-05:00,3841.0,3823.5,3871.75,17.5,1,28.75,2.0,risk_percent_net_liq,150972.5,1509.7250000000001,875.0,1.7254000000000003,875.0,2021-02-04 16:55:00-05:00,3866.25,eod_flatten,1262.5,1257.5,1.4428571428571428,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,morning_intraday_momentum_continuation,2021-02-24,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-02-24 09:30:00-05:00,2021-02-24 10:30:00-05:00,3866.0,3880.0,3855.5,3877.25,11.25,45.0,24.5,438105.0,1.4322091104824206,2021-02-24 10:30:00-05:00,2021-02-24 10:30:00-05:00,2021-02-24 10:35:00-05:00,32.0,,,2021-02-24 10:30:00-05:00,3877.5,3860.0,3908.75,17.5,1,31.25,4.5,risk_percent_net_liq,152230.0,1522.3,875.0,1.7397714285714285,875.0,2021-02-24 12:10:00-05:00,3908.5,target,1550.0,1545.0,1.7714285714285714,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
11,morning_intraday_momentum_continuation,2021-03-01,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-03-01 09:30:00-05:00,2021-03-01 10:30:00-05:00,3858.75,3886.5,3858.0,3882.75,24.0,96.0,28.5,386409.0,0.9555061458624907,2021-03-01 10:30:00-05:00,2021-03-01 10:30:00-05:00,2021-03-01 10:35:00-05:00,32.0,,,2021-03-01 10:30:00-05:00,3883.0,3865.5,3914.25,17.5,1,29.0,1.25,risk_percent_net_liq,153775.0,1537.75,875.0,1.7574285714285713,875.0,2021-03-01 16:55:00-05:00,3904.25,eod_flatten,1062.5,1057.5,1.2142857142857142,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
12,morning_intraday_momentum_continuation,2021-03-08,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-03-08 09:30:00-05:00,2021-03-08 10:30:00-05:00,3848.75,3871.5,3829.5,3869.0,20.25,81.0,42.0,452774.0,1.28838355093338,2021-03-08 10:30:00-05:00,2021-03-08 10:30:00-05:00,2021-03-08 10:35:00-05:00,32.0,,,2021-03-08 10:30:00-05:00,3869.25,3851.75,3900.25,17.5,1,9.5,22.25,risk_percent_net_liq,154832.5,1548.325,875.0,1.7695142857142858,875.0,2021-03-08 13:50:00-05:00,3851.5,stop,-887.5,-892.5,-1.0142857142857142,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
13,morning_intraday_momentum_continuation,2021-03-09,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-03-09 09:30:00-05:00,2021-03-09 10:30:00-05:00,3860.75,3888.5,3855.25,3885.75,25.0,100.0,33.25,363699.0,1.2716807547602968,2021-03-09 10:30:00-05:00,2021-03-09 10:30:00-05:00,2021-03-09 10:35:00-05:00,32.0,,,2021-03-09 10:30:00-05:00,3886.0,3868.5,3917.25,17.5,1,15.25,16.25,risk_percent_net_liq,153940.0,1539.4,875.0,1.7593142857142858,875.0,2021-03-09 16:55:00-05:00,3872.5,eod_flatten,-675.0,-680.0,-0.7714285714285715,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
14,morning_intraday_momentum_continuation,2021-03-22,long,morning_intraday_momentum_long_only_strength,gao_han_li_zhou_2018_market_intraday_momentum,long_only_strength,rth_open_to_signal_close,2021-03-22 09:30:00-04:00,2021-03-22 10:30:00-04:00,3904.0,3920.75,3903.5,3918.0,14.0,56.0,17.25,324774.0,1.0909982892269394,2021-03-22 10:30:00-04:00,2021-03-22 10:30:00-04:00,2021-03-22 10:35:00-04:00,32.0,,,2021-03-22 10:30:00-04:00,3918.5,3900.75,3950.0,17.75,1,26.0,2.0,risk_percent_net_liq,153260.0,1532.6000000000001,887.5,1.72687323943662,887.5,2021-03-22 16:55:00-04:00,3932.5,eod_flatten,700.0,695.0,0.7887323943661971,5.0,25.0,False,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
